Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2001-07-23,0.305708,0.312068,0.297104,0.297423,283147523.21233
2001-07-24,0.295219,0.303195,0.28525,0.290414,408691537.84333
2001-07-25,0.290992,0.293893,0.273396,0.281003,520728600.66418
2001-07-26,0.281302,0.286147,0.271911,0.282827,433051403.69793
2001-07-27,0.285569,0.292936,0.281561,0.288659,391985193.87831
2001-07-30,0.290992,0.294711,0.28187,0.288011,285492768.96048
2001-07-31,0.293256,0.295519,0.28187,0.285888,275717313.40104
2001-08-01,0.289507,0.301092,0.288321,0.290095,356792112.8824
2001-08-02,0.298918,0.302607,0.293256,0.30166,295734697.03416
2001-08-03,0.302926,0.302926,0.289238,0.296755,218266673.53685
2001-08-06,0.289796,0.299248,0.289238,0.290992,116905121.2874
2001-08-07,0.294153,0.299566,0.288939,0.292936,197730181.32646
2001-08-08,0.293256,0.299896,0.282199,0.287693,323983828.90764
2001-08-09,0.288659,0.291312,0.284931,0.290095,235406563.88978
2001-08-10,0.289796,0.294153,0.282827,0.289507,219330905.80174
2001-08-13,0.290694,0.294153,0.285569,0.290414,173619979.68539
2001-08-14,0.292288,0.294711,0.284382,0.28525,268589390.82666
2001-08-15,0.285569,0.288321,0.277094,0.280703,339363110.35712
2001-08-16,0.277912,0.285569,0.273396,0.283734,337970396.19898
2001-08-17,0.274024,0.280703,0.273695,0.275181,244512011.99774
2001-08-20,0.276118,0.277643,0.270973,0.275789,295984400.36664
2001-08-21,0.276118,0.276118,0.269338,0.272797,217852726.75012
2001-08-22,0.273127,0.277643,0.267953,0.277364,204096111.72949
2001-08-23,0.277094,0.279209,0.267634,0.270973,254661947.32714
2001-08-24,0.274024,0.283396,0.268422,0.282827,340598125.96367
2001-08-27,0.283116,0.293893,0.276446,0.288011,206053806.96034
2001-08-28,0.287693,0.291312,0.280075,0.280075,201468341.8428
2001-08-29,0.280703,0.286466,0.271273,0.271273,281518182.48734
2001-08-30,0.269996,0.276776,0.263048,0.271273,432525864.56574
2001-08-31,0.269996,0.283116,0.268422,0.282518,254458240.86832
2001-09-04,0.281561,0.290414,0.276776,0.277643,408500982.37587
2001-09-05,0.277643,0.288321,0.275789,0.282518,422395558.92903
2001-09-06,0.280075,0.288011,0.268422,0.269678,331256269.95381
2001-09-07,0.266387,0.27549,0.261832,0.263048,283699253.99172
2001-09-10,0.258801,0.266387,0.257505,0.264543,362317128.11408
2001-09-17,0.243487,0.260017,0.23959,0.258471,537303547.05726
2001-09-18,0.257205,0.269678,0.246298,0.247884,383733823.96964
2001-09-19,0.251193,0.260316,0.237486,0.259129,437952343.15355
2001-09-20,0.247884,0.257853,0.235951,0.238662,482362403.41681
2001-09-21,0.225322,0.247236,0.223418,0.23959,669292328.82896
2001-09-24,0.245082,0.256358,0.242669,0.250227,345531922.33514
2001-09-25,0.245651,0.246946,0.233498,0.236539,439226779.63655
2001-09-26,0.240885,0.241982,0.227067,0.230796,579289522.8286
2001-09-27,0.231962,0.239908,0.231394,0.235951,378031498.54858
2001-09-28,0.23926,0.242331,0.234435,0.235951,428321338.86154
2001-10-01,0.235951,0.243487,0.231962,0.236539,244255784.82667
2001-10-02,0.234684,0.241115,0.226439,0.229261,276722495.0968
2001-10-03,0.227377,0.233847,0.225851,0.228025,801300808.50076
2001-10-04,0.233498,0.247236,0.228313,0.241693,470570085.70355
2001-10-05,0.234435,0.245651,0.228313,0.245651,402016810.40751
2001-10-08,0.237157,0.248981,0.235951,0.246618,243992946.55163
2001-10-09,0.244415,0.246618,0.238074,0.243487,204155243.54571
2001-10-10,0.245082,0.256657,0.242669,0.256009,361042646.49382
2001-10-11,0.257505,0.269996,0.256657,0.269996,392018078.87957
2001-10-12,0.263367,0.275181,0.256657,0.274293,337641884.21423
2001-10-15,0.273127,0.279757,0.273127,0.273695,373938595.28134
2001-10-16,0.275181,0.277094,0.270306,0.274293,238086922.69615
2001-10-17,0.279209,0.280405,0.258133,0.258471,334974609.19487
2001-10-18,0.263048,0.277643,0.263048,0.274024,718629647.5824
2001-10-19,0.273127,0.280075,0.272199,0.27856,195667414.57959
2001-10-22,0.277364,0.290414,0.275181,0.289507,459796078.61028
2001-10-23,0.290992,0.295519,0.272199,0.276118,803573868.73721
2001-10-24,0.274842,0.290414,0.270306,0.288321,439253061.55825
2001-10-25,0.280703,0.292936,0.276446,0.292288,299091754.63997
2001-10-26,0.287065,0.292936,0.283396,0.284382,327261953.48296
2001-10-29,0.282827,0.284382,0.267953,0.268232,280591947.86479
2001-10-30,0.264543,0.274024,0.259698,0.267953,324680173.44858
2001-10-31,0.269996,0.280075,0.265481,0.267315,321145717.38497
2001-11-01,0.268422,0.285888,0.26239,0.282827,367185134.42202
2001-11-02,0.28187,0.287065,0.276446,0.282827,231346619.84953
2001-11-05,0.286765,0.292936,0.283116,0.290414,276617348.352
2001-11-06,0.288659,0.298629,0.282199,0.2981,370732686.30924
2001-11-07,0.296147,0.306286,0.294153,0.2981,449297890.26488
2001-11-08,0.298629,0.302926,0.282827,0.284931,401379598.68583
2001-11-09,0.283116,0.292936,0.282518,0.284931,157544354.698
2001-11-12,0.284054,0.29197,0.273396,0.285569,236385416.52046
2001-11-13,0.290414,0.295219,0.284931,0.294941,263570208.80267
2001-11-14,0.2981,0.302926,0.291312,0.2984,259437991.98535
2001-11-15,0.295817,0.302926,0.292936,0.295817,249912202.64554
2001-11-16,0.293256,0.293575,0.280075,0.288659,270599699.0504
2001-11-19,0.289238,0.305329,0.288659,0.304541,390171937.87828
2001-11-20,0.30166,0.307452,0.296755,0.297423,324469913.05967
2001-11-21,0.2984,0.301351,0.293256,0.299566,236484034.4114
2001-11-23,0.300174,0.303544,0.2981,0.301999,70392708.900558
2001-11-26,0.303544,0.328239,0.302607,0.325397,540450345.2772
2001-11-27,0.322716,0.327631,0.312068,0.319655,315049198.24503
2001-11-28,0.317531,0.322995,0.310842,0.312676,294000368.04632
2001-11-29,0.313594,0.315069,0.307452,0.310842,237870151.50829
2001-11-30,0.311569,0.326335,0.30799,0.324231,356529320.74768
2001-12-03,0.320602,0.323932,0.313594,0.320602,212531457.09621
2001-12-04,0.320602,0.343472,0.315418,0.34092,446282487.61077
2001-12-05,0.340331,0.365944,0.3376,0.361677,667019228.4705
2001-12-06,0.35739,0.357699,0.337012,0.346743,397615272.60161
2001-12-07,0.341807,0.345855,0.334878,0.343124,238750492.57134
2001-12-10,0.339195,0.349863,0.338567,0.343124,199444839.49655
2001-12-11,0.345207,0.347949,0.329366,0.331539,241049802.6319
2001-12-12,0.333074,0.333672,0.323284,0.326993,225782185.74748
2001-12-13,0.326993,0.328239,0.312068,0.319655,232095513.18813
2001-12-14,0.315707,0.316933,0.305708,0.310603,222760215.12057
2001-12-17,0.310603,0.319655,0.307452,0.313812,203787373.87666
2001-12-18,0.318109,0.32452,0.307702,0.319984,275966944.51391
2001-12-19,0.313244,0.329974,0.311569,0.329066,340158016.6182
2001-12-20,0.325697,0.326614,0.313812,0.31473,259102927.07355
2001-12-21,0.319984,0.32795,0.316644,0.319655,300714417.05662
2001-12-24,0.318109,0.326335,0.318109,0.325099,59395287.417866
2001-12-26,0.325099,0.339495,0.321798,0.326993,171747642.02165
2001-12-27,0.328568,0.338567,0.328568,0.336065,224665403.68187
2001-12-28,0.33432,0.350102,0.33432,0.341229,350912390.00658
2001-12-31,0.342794,0.344908,0.332147,0.333403,161637193.77003
2002-01-02,0.335756,0.354669,0.33432,0.354669,621170374.92531
2002-01-03,0.350102,0.361677,0.346453,0.358916,717966119.83531
2002-01-04,0.355317,0.364389,0.349863,0.36075,480956607.47778
2002-01-07,0.361039,0.365346,0.346453,0.348597,521556335.7557
2002-01-08,0.346453,0.35095,0.341807,0.34408,527955087.96784
2002-01-09,0.347041,0.348916,0.323932,0.329366,384594470.14175
2002-01-10,0.322995,0.326614,0.30799,0.323284,531121629.22515
2002-01-11,0.325697,0.332475,0.313594,0.320602,409190795.05382
2002-01-14,0.319984,0.325697,0.318109,0.321798,488018849.32109
2002-01-15,0.32452,0.33119,0.322995,0.330352,340585012.08517
2002-01-16,0.325995,0.325995,0.312068,0.316335,665041790.20228
2002-01-17,0.33432,0.346134,0.333074,0.342136,774943819.51749
2002-01-18,0.334878,0.34408,0.33432,0.3376,397470776.19693
2002-01-22,0.338896,0.340611,0.332147,0.332147,383983422.98491
2002-01-23,0.331857,0.35063,0.328568,0.350332,520025642.01012
2002-01-24,0.348916,0.357988,0.348597,0.353462,403560702.28781
2002-01-25,0.348597,0.356493,0.344908,0.353791,218102422.0582
2002-01-28,0.356203,0.358616,0.345855,0.35409,218726523.91357
2002-01-29,0.353462,0.358317,0.347949,0.351268,281932093.16427
2002-01-30,0.351268,0.36738,0.349215,0.366582,553221560.7584
